ID,Panel,col,row,x 3d,y 3d,to steelwire,to ceiling,to floor,x 2d,y 2d,DMX universe,DMX bk,DMX address,sensor index,deflection_cm,to wall,sequence index,known dmx,known pos,Labels,RackID,DimID,DimPort
159,000-A,2,5,1.721,2.727,0,3.549,2.846,0,0,3,0,32,0,246.4,1.042,2,1,1,row:6|pos:3|dim:1|id:160,0,1,3
160,000-A,3,5,1.654,3.040,0,3.636,2.758,0,0,3,0,33,0,246.2,1.362,3,1,1,row:6|pos:4|dim:1|id:161,0,1,3
161,000-A,4,5,1.587,3.353,0,3.638,2.756,0,0,3,0,34,0,238.6,1.682,4,1,1,row:6|pos:5|dim:1|id:162,0,1,3
162,000-A,5,5,1.521,3.666,0,3.544,2.850,0,0,3,0,35,0,222.4,2.002,5,1,1,row:6|pos:6|dim:1|id:163,0,1,3
163,000-A,6,5,1.454,3.979,0,3.338,3.056,0,0,3,0,36,0,196.1,2.323,6,1,1,row:6|pos:7|dim:1|id:164,0,1,3
164,000-A,7,5,1.388,4.292,0,3.047,3.348,0,0,3,0,37,0,162.4,2.643,7,1,1,row:6|pos:8|dim:1|id:165,0,1,3
165,000-A,8,5,1.321,4.605,0,2.793,3.601,0,0,3,0,38,0,133.5,2.963,8,1,1,row:6|pos:9|dim:1|id:166,0,1,3
166,000-A,9,5,1.255,4.918,0,2.592,3.803,0,0,3,0,39,0,110.9,3.283,9,1,1,row:6|pos:10|dim:1|id:167,0,1,3
167,000-A,10,5,1.188,5.231,0,2.439,3.956,0,0,3,0,40,0,94.2,3.603,10,1,1,row:6|pos:11|dim:1|id:168,0,1,3
168,000-A,11,5,1.122,5.544,0,2.348,4.046,0,0,3,0,41,0,84.9,3.923,11,1,1,row:6|pos:12|dim:1|id:169,0,1,3
