index,position_x,position_y,position_z,cablelength(M),BulbCables,BulbZ,lineID,bulbonline,Universe
755,13.901,-14.733,7.998,1.773,1.773,-7.998,23,13,3
756,13.837,-14.430,7.953,1.905,1.905,-7.953,23,14,3
757,13.773,-14.126,7.909,1.977,1.977,-7.909,23,15,0
758,13.708,-13.823,7.907,2.020,2.020,-7.907,23,16,0
759,13.644,-13.520,7.904,1.974,1.974,-7.904,23,17,0
760,13.579,-13.217,7.901,1.865,1.865,-7.901,23,18,0
761,13.515,-12.913,7.928,1.765,1.765,-7.928,23,19,0
762,13.450,-12.610,7.969,1.778,1.778,-7.969,23,20,0
763,13.386,-12.307,8.011,1.915,1.915,-8.011,23,21,0
764,13.321,-12.004,8.064,2.142,2.142,-8.064,23,22,0
765,13.257,-11.701,8.140,2.284,2.284,-8.140,23,23,0
766,13.192,-11.397,8.217,2.370,2.370,-8.217,23,24,0
767,13.128,-11.094,8.295,2.405,2.405,-8.295,23,25,0
768,13.064,-10.791,8.397,2.405,2.405,-8.397,23,26,0
769,12.999,-10.488,8.499,2.280,2.280,-8.499,23,27,0
770,12.935,-10.184,8.602,2.193,2.193,-8.602,23,28,0
771,12.870,-9.881,8.718,2.196,2.196,-8.718,23,29,0
772,12.806,-9.578,8.837,2.253,2.253,-8.837,23,30,0
773,12.741,-9.275,8.957,2.313,2.313,-8.957,23,31,0
774,12.677,-8.971,9.082,2.572,2.572,-9.082,23,32,0
775,12.612,-8.668,9.210,2.993,2.993,-9.210,23,33,0
776,15.198,-18.670,9.325,2.224,2.224,-9.325,24,0,3
777,15.134,-18.367,9.201,2.043,2.043,-9.201,24,1,3
778,15.070,-18.064,9.077,1.810,1.810,-9.077,24,2,3
779,15.005,-17.761,8.957,1.597,1.597,-8.957,24,3,3
780,14.941,-17.458,8.840,1.389,1.389,-8.840,24,4,3
781,14.876,-17.154,8.724,1.236,1.236,-8.724,24,5,3
782,14.812,-16.851,8.611,1.113,1.113,-8.611,24,6,3
783,14.747,-16.548,8.510,1.029,1.029,-8.510,24,7,3
784,14.683,-16.245,8.409,0.968,0.968,-8.409,24,8,3
785,14.618,-15.941,8.308,0.931,0.931,-8.308,24,9,3
786,14.554,-15.638,8.231,0.926,0.926,-8.231,24,10,3
787,14.489,-15.335,8.153,0.971,0.971,-8.153,24,11,3
788,14.425,-15.032,8.075,1.135,1.135,-8.075,24,12,3
789,14.361,-14.728,8.024,1.353,1.353,-8.024,24,13,3
790,14.296,-14.425,7.978,1.489,1.489,-7.978,24,14,3
791,14.232,-14.122,7.933,1.552,1.552,-7.933,24,15,0
792,14.167,-13.819,7.908,1.594,1.594,-7.908,24,16,0
793,14.103,-13.516,7.905,1.575,1.575,-7.905,24,17,0
794,14.038,-13.212,7.903,1.483,1.483,-7.903,24,18,0
795,13.974,-12.909,7.904,1.398,1.398,-7.904,24,19,0
796,13.909,-12.606,7.945,1.483,1.483,-7.945,24,20,0
797,13.845,-12.303,7.986,1.753,1.753,-7.986,24,21,0
798,13.780,-11.999,8.027,2.077,2.077,-8.027,24,22,0
799,13.716,-11.696,8.094,2.249,2.249,-8.094,24,23,0
800,13.652,-11.393,8.170,2.353,2.353,-8.170,24,24,0
801,13.587,-11.090,8.246,2.400,2.400,-8.246,24,25,0
802,13.523,-10.787,8.334,2.397,2.397,-8.334,24,26,0
803,13.458,-10.483,8.435,2.292,2.292,-8.435,24,27,0
804,13.394,-10.180,8.538,2.163,2.163,-8.538,24,28,0
805,13.329,-9.877,8.644,2.114,2.114,-8.644,24,29,0
806,13.265,-9.574,8.762,2.168,2.168,-8.762,24,30,0
807,13.200,-9.270,8.882,2.270,2.270,-8.882,24,31,0
808,13.136,-8.967,9.002,2.359,2.359,-9.002,24,32,0
809,13.072,-8.664,9.129,2.639,2.639,-9.129,24,33,0
810,15.593,-18.361,9.264,2.096,2.096,-9.264,25,0,3
811,15.528,-18.058,9.141,1.896,1.896,-9.141,25,1,3
812,15.464,-17.755,9.017,1.673,1.673,-9.017,25,2,3
813,15.399,-17.452,8.901,1.465,1.465,-8.901,25,3,3
814,15.335,-17.148,8.785,1.314,1.314,-8.785,25,4,3
815,15.271,-16.845,8.668,1.189,1.189,-8.668,25,5,3
816,15.206,-16.542,8.564,1.100,1.100,-8.564,25,6,3
817,15.142,-16.239,8.463,1.037,1.037,-8.463,25,7,3
818,15.077,-15.935,8.361,0.994,0.994,-8.361,25,8,3
819,15.013,-15.632,8.273,0.967,0.967,-8.273,25,9,3
820,14.948,-15.329,8.195,0.973,0.973,-8.195,25,10,3
821,14.884,-15.026,8.118,1.012,1.012,-8.118,25,11,3
822,14.819,-14.723,8.048,1.109,1.109,-8.048,25,12,3
823,14.755,-14.419,8.003,1.172,1.172,-8.003,25,13,3
824,14.690,-14.116,7.959,1.176,1.176,-7.959,25,14,3
825,14.626,-13.813,7.914,1.133,1.133,-7.914,25,15,0
826,14.562,-13.510,7.907,1.072,1.072,-7.907,25,16,0
827,14.497,-13.206,7.904,0.979,0.979,-7.904,25,17,0
828,14.433,-12.903,7.902,0.883,0.883,-7.902,25,18,0
829,14.368,-12.600,7.921,0.965,0.965,-7.921,25,19,0
830,14.304,-12.297,7.962,1.206,1.206,-7.962,25,20,0
831,14.239,-11.994,8.003,1.739,1.739,-8.003,25,21,0
832,14.175,-11.690,8.048,1.985,1.985,-8.048,25,22,0
833,14.110,-11.387,8.124,2.198,2.198,-8.124,25,23,0
834,14.046,-11.084,8.200,2.269,2.269,-8.200,25,24,0
835,13.981,-10.781,8.276,2.272,2.272,-8.276,25,25,0
836,13.917,-10.477,8.373,2.183,2.183,-8.373,25,26,0
837,13.853,-10.174,8.475,2.036,2.036,-8.475,25,27,0
838,13.788,-9.871,8.577,1.964,1.964,-8.577,25,28,0
839,13.724,-9.568,8.688,2.002,2.002,-8.688,25,29,0
840,13.659,-9.264,8.807,2.134,2.134,-8.807,25,30,0
841,13.595,-8.961,8.925,2.248,2.248,-8.925,25,31,0
842,13.530,-8.658,9.047,2.389,2.389,-9.047,25,32,0
843,13.466,-8.355,9.174,2.857,2.857,-9.174,25,33,0
844,16.051,-18.353,9.326,2.111,2.111,-9.326,26,0,3
845,15.987,-18.050,9.203,1.907,1.907,-9.203,26,1,3
846,15.922,-17.747,9.080,1.673,1.673,-9.080,26,2,3
847,15.858,-17.444,8.960,1.423,1.423,-8.960,26,3,3
848,15.793,-17.140,8.844,1.254,1.254,-8.844,26,4,3
849,15.729,-16.837,8.728,1.124,1.124,-8.728,26,5,3
850,15.664,-16.534,8.616,1.036,1.036,-8.616,26,6,3
851,15.600,-16.231,8.516,0.977,0.977,-8.516,26,7,3
852,15.536,-15.928,8.415,0.937,0.937,-8.415,26,8,3
853,15.471,-15.624,8.314,0.905,0.905,-8.314,26,9,3
854,15.407,-15.321,8.237,0.906,0.906,-8.237,26,10,3
855,15.342,-15.018,8.160,0.945,0.945,-8.160,26,11,3
856,15.278,-14.715,8.083,1.029,1.029,-8.083,26,12,3
857,15.213,-14.411,8.028,1.078,1.078,-8.028,26,13,3
858,15.149,-14.108,7.984,1.058,1.058,-7.984,26,14,3
859,15.084,-13.805,7.939,0.973,0.973,-7.939,26,15,0
860,15.020,-13.502,7.908,0.823,0.823,-7.908,26,16,0
861,14.955,-13.199,7.906,0.699,0.699,-7.906,26,17,0
862,14.891,-12.895,7.903,0.616,0.616,-7.903,26,18,0
863,14.827,-12.592,7.901,0.590,0.590,-7.901,26,19,0
864,14.762,-12.289,7.938,0.772,0.772,-7.938,26,20,0
865,14.698,-11.986,7.979,1.082,1.082,-7.979,26,21,0
866,14.633,-11.682,8.020,1.524,1.524,-8.020,26,22,0
867,14.569,-11.379,8.079,1.776,1.776,-8.079,26,23,0
868,14.504,-11.076,8.155,1.932,1.932,-8.155,26,24,0
869,14.440,-10.773,8.230,1.969,1.969,-8.230,26,25,0
870,14.375,-10.469,8.311,1.907,1.907,-8.311,26,26,0
871,14.311,-10.166,8.412,1.779,1.779,-8.412,26,27,0
872,14.246,-9.863,8.513,1.709,1.709,-8.513,26,28,0
873,14.182,-9.560,8.615,1.732,1.732,-8.615,26,29,0
874,14.118,-9.257,8.732,1.895,1.895,-8.732,26,30,0
875,14.053,-8.953,8.850,2.084,2.084,-8.850,26,31,0
876,13.989,-8.650,8.969,2.250,2.250,-8.969,26,32,0
877,13.924,-8.347,9.093,2.571,2.571,-9.093,26,33,0
878,16.445,-18.039,9.265,1.947,1.947,-9.265,27,0,3
879,16.380,-17.736,9.143,1.651,1.651,-9.143,27,1,3
880,16.316,-17.433,9.020,1.366,1.366,-9.020,27,2,3
881,16.251,-17.130,8.904,1.142,1.142,-8.904,27,3,3
882,16.187,-16.827,8.789,0.958,0.958,-8.789,27,4,3
883,16.122,-16.523,8.673,0.838,0.838,-8.673,27,5,3
884,16.058,-16.220,8.569,0.770,0.770,-8.569,27,6,3
885,15.993,-15.917,8.469,0.737,0.737,-8.469,27,7,3
886,15.929,-15.614,8.368,0.708,0.708,-8.368,27,8,3
887,15.864,-15.310,8.278,0.704,0.704,-8.278,27,9,3
888,15.800,-15.007,8.201,0.722,0.722,-8.201,27,10,3
889,15.736,-14.704,8.125,0.793,0.793,-8.125,27,11,3
890,15.671,-14.401,8.052,0.876,0.876,-8.052,27,12,3
891,15.607,-14.098,8.008,0.922,0.922,-8.008,27,13,3
892,15.542,-13.794,7.964,0.846,0.846,-7.964,27,14,0
893,15.478,-13.491,7.920,0.666,0.666,-7.920,27,15,0
894,15.413,-13.188,7.907,0.469,0.469,-7.907,27,16,0
895,15.349,-12.885,7.905,0.358,0.358,-7.905,27,17,0
896,15.284,-12.581,7.902,0.333,0.333,-7.902,27,18,0
897,15.220,-12.278,7.914,0.429,0.429,-7.914,27,19,0
898,15.155,-11.975,7.955,0.618,0.618,-7.955,27,20,0
899,15.091,-11.672,7.996,0.943,0.943,-7.996,27,21,0
900,15.027,-11.368,8.037,1.214,1.214,-8.037,27,22,0
901,14.962,-11.065,8.110,1.422,1.422,-8.110,27,23,0
902,14.898,-10.762,8.185,1.501,1.501,-8.185,27,24,0
903,14.833,-10.459,8.261,1.464,1.464,-8.261,27,25,0
904,14.769,-10.156,8.351,1.363,1.363,-8.351,27,26,0
905,14.704,-9.852,8.452,1.313,1.313,-8.452,27,27,0
906,14.640,-9.549,8.553,1.346,1.346,-8.553,27,28,0
907,14.575,-9.246,8.659,1.510,1.510,-8.659,27,29,0
908,14.511,-8.943,8.777,1.789,1.789,-8.777,27,30,0
909,14.446,-8.639,8.895,2.047,2.047,-8.895,27,31,0
910,14.382,-8.336,9.013,2.322,2.322,-9.013,27,32,0
911,14.318,-8.033,9.139,2.674,2.674,-9.139,27,33,0
