index,position_x,position_y,position_z,pitchy,pitchx,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,LineID,Universe,bulbonline,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,AmI_Yaxis_indicatorLocal,AmI_Xaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal
30,-1.919,9.027,5.609,0.320,0.450,11.471,2.096,-2.096,0,1,30,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
31,-1.978,9.304,5.759,0.320,0.450,11.471,2.450,-2.450,0,1,31,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
32,-2.036,9.581,5.910,0.320,0.450,11.471,2.789,-2.789,0,1,32,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
33,-2.094,9.850,6.074,0.320,0.450,11.471,3.115,-3.115,0,1,33,0.000,5.181,4.693,0.000,-0.201,6.395,0.000,10.567,6.395,False,False,False,False,False,False,False,False
34,0.412,0.224,6.135,0.320,0.450,11.512,2.520,-2.520,1,2,0,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
35,0.356,0.489,5.964,0.320,0.450,11.512,2.054,-2.054,1,2,1,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
36,0.297,0.765,5.814,0.320,0.450,11.512,1.633,-1.633,1,2,2,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
37,0.239,1.041,5.663,0.320,0.450,11.512,1.230,-1.230,1,2,3,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
38,0.178,1.325,5.529,0.320,0.450,11.512,1.089,-1.089,1,2,4,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
39,0.117,1.612,5.402,0.320,0.450,11.512,1.117,-1.117,1,2,5,0.450,5.133,4.693,0.450,-0.270,6.395,0.450,10.541,6.395,False,False,False,False,False,False,False,False
