index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,LineID,bulbonline,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,AmI_Yaxis_indicator,AmI_Xaxis_indicator,AmI_0axis_Indicator,AmI_Zaxis_indicator
0,-0.014,0.066,6.221,11.472,2.731,-6.221,0,0,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
1,-0.070,0.329,6.047,11.472,2.196,-6.047,0,1,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
2,-0.127,0.600,5.887,11.472,1.665,-5.887,0,2,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
3,-0.186,0.875,5.736,11.472,1.177,-5.736,0,3,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
4,-0.245,1.154,5.590,11.472,0.878,-5.590,0,4,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
5,-0.306,1.441,5.463,11.472,0.758,-5.463,0,5,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
6,-0.367,1.728,5.335,11.472,0.789,-5.335,0,6,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
7,-0.430,2.023,5.228,11.472,0.940,-5.228,0,7,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
8,-0.493,2.319,5.125,11.472,1.217,-5.125,0,8,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
9,-0.557,2.619,5.033,11.472,1.611,-5.033,0,9,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
10,-0.621,2.922,4.955,11.472,1.877,-4.955,0,10,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
11,-0.686,3.226,4.878,11.472,1.841,-4.878,0,11,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
12,-0.751,3.535,4.826,11.472,1.686,-4.826,0,12,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
13,-0.817,3.844,4.774,11.472,1.428,-4.774,0,13,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
14,-0.883,4.155,4.739,11.472,1.147,-4.739,0,14,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
15,-0.949,4.467,4.713,11.472,0.989,-4.713,0,15,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
16,-1.016,4.779,4.693,11.472,0.895,-4.693,0,16,-1.077,5.069,4.693,0.042,-0.197,6.395,-2.197,10.336,6.395,False,False,False,False
